deviceSerialnum,temperature(°C),humidity,vpd,temperature(°F),co2,Timestamp,temperature_soil_f(°F),temperature_soil(°C),ppfd,power
,29.1,55.6,1.79,84.38,,2025-05-21 00:30:01,,,,
,28.6,58.5,1.62,83.48,,2025-05-21 01:00:01,,,,
,30.6,57.3,1.88,87.08,,2025-05-21 01:30:00,,,,
,28.9,40.4,2.37,84.02,,2025-05-21 02:00:01,,,,
,28.6,39.1,2.38,83.48,,2025-05-21 02:30:00,,,,
,28.4,31.6,2.65,83.12,,2025-05-21 03:00:01,,,,
,29.0,54.6,1.82,84.2,,2025-05-21 03:30:00,,,,
,23.6,61,1.14,74.48,,2025-05-21 04:30:00,,,,
,23.4,62.8,1.07,74.12,,2025-05-21 05:00:01,,,,
,23.2,61.6,1.09,73.76,,2025-05-21 05:30:01,,,,
,23.1,60,1.13,73.58,,2025-05-21 06:00:00,,,,
,23.0,58,1.18,73.4,,2025-05-21 06:30:00,,,,
,23.0,56.9,1.21,73.4,,2025-05-21 07:00:00,,,,
,23.0,58.7,1.16,73.4,,2025-05-21 07:30:00,,,,
,23.0,58.1,1.18,73.4,,2025-05-21 08:00:00,,,,
,23.0,61.4,1.08,73.4,,2025-05-21 08:30:00,,,,
,23.0,57.6,1.19,73.4,,2025-05-21 09:00:00,,,,
,22.9,58.1,1.17,73.22,,2025-05-21 09:30:00,,,,
,23.0,58.6,1.16,73.4,,2025-05-21 10:00:00,,,,
,27.3,50.7,1.79,81.14,,2025-05-21 10:30:00,,,,
,28.9,56.2,1.74,84.02,,2025-05-21 11:00:00,,,,
,28.8,55.2,1.77,83.84,,2025-05-21 11:30:00,,,,
,28.5,57,1.67,83.3,,2025-05-21 12:00:00,,,,
,28.7,57.5,1.67,83.66,,2025-05-21 12:30:00,,,,
,28.7,56.1,1.73,83.66,,2025-05-21 13:00:00,,,,
,28.6,57,1.68,83.48,,2025-05-21 13:30:01,,,,
,28.8,55.4,1.77,83.84,,2025-05-21 14:00:00,,,,
,28.7,57,1.69,83.66,,2025-05-21 14:30:00,,,,
,28.1,56.8,1.64,82.58,,2025-05-21 15:00:01,,,,
,28.5,57.6,1.65,83.3,,2025-05-21 15:30:01,,,,
,28.7,56.4,1.72,83.66,,2025-05-21 16:00:01,,,,
,28.8,56.3,1.73,83.84,,2025-05-21 16:30:00,,,,
,29.0,55.6,1.78,84.2,,2025-05-21 17:00:00,,,,
,29.1,55.1,1.81,84.38,,2025-05-21 17:30:00,,,,
,28.2,57.2,1.64,82.76,,2025-05-21 18:00:00,,,,
,28.0,57.3,1.61,82.4,,2025-05-21 18:30:00,,,,
,28.1,57.5,1.62,82.58,,2025-05-21 19:00:01,,,,
,26.5,49.8,1.74,79.7,,2025-05-21 19:30:00,,,,
,26.8,51.4,1.71,80.24,,2025-05-21 20:00:00,,,,
,26.9,54.5,1.61,80.42,,2025-05-21 20:30:00,,,,
,26.9,49.4,1.79,80.42,,2025-05-21 21:00:00,,,,
,26.8,54.6,1.6,80.24,,2025-05-21 21:30:00,,,,
,26.7,53.4,1.63,80.06,,2025-05-21 22:00:00,,,,
,25.4,67.9,1.04,77.72,,2025-05-21 22:30:00,,,,
,25.1,71.1,0.92,77.18,,2025-05-21 23:00:00,,,,
,25.5,66,1.11,77.9,,2025-05-21 23:30:01,,,,
,23.8,77.8,0.65,74.84,,2025-05-22 00:00:01,,,,
,24.2,53.6,1.4,75.56,,2025-05-22 00:30:01,,,,
,23.8,53.4,1.37,74.84,,2025-05-22 01:00:01,,,,
,24.4,47.2,1.61,75.92,,2025-05-22 01:30:00,,,,
,23.8,52.1,1.41,74.84,,2025-05-22 02:00:00,,,,
,23.9,54.3,1.36,75.02,,2025-05-22 02:30:00,,,,
,23.7,58.7,1.21,74.66,,2025-05-22 03:00:00,,,,
,24.2,49,1.54,75.56,,2025-05-22 03:30:00,,,,
,20.7,79.1,0.51,69.26,,2025-05-22 04:00:01,,,,
,19.6,78.1,0.5,67.28,,2025-05-22 04:30:00,,,,
,19.4,76.1,0.54,66.92,,2025-05-22 05:00:01,,,,
,19.8,70.6,0.68,67.64,,2025-05-22 05:30:00,,,,
,19.6,72.4,0.63,67.28,,2025-05-22 06:30:00,,,,
,19.4,73.3,0.6,66.92,,2025-05-22 07:30:01,,,,
,19.3,72.6,0.61,66.74,,2025-05-22 08:00:00,,,,
,19.1,75.7,0.54,66.38,,2025-05-22 08:30:00,,,,
,19.2,76.8,0.52,66.56,,2025-05-22 09:30:01,,,,
,19.2,75.9,0.54,66.56,,2025-05-22 10:00:01,,,,
,21.8,69.4,0.8,71.24,,2025-05-22 10:30:01,,,,
,23.1,78.3,0.61,73.58,,2025-05-22 11:00:00,,,,
